DISTANCE_FISHED,NET_WIDTH(M),NET_WIDTH(KM),YEAR
1.586,17.463,0.017463,2005
1.331,15.101,0.015101,2005
1.423,16.943,0.016943,2005
1.502,13.716,0.013716,2005
1.446,13.478,0.013478,2005
1.397,15.154,0.015154,2005
1.438,14.785,0.014785,2005
1.422,14.299,0.014299,2005
1.444,15.48,0.01548,2005
1.403,14.323,0.014323,2005
1.435,13.896,0.013896,2005
1.579,15.466,0.015466,2005
1.411,15.232,0.015232,2005
1.396,16.348,0.016348,2005
1.376,16.323,0.016323,2005
1.392,16.3,0.0163,2005
1.39,15.76,0.01576,2005
1.378,14.805,0.014805,2005
1.412,14.56,0.01456,2005
1.385,14.223,0.014223,2005
1.394,15.328,0.015328,2005
1.419,14.944,0.014944,2005
1.393,15.324,0.015324,2005
1.42,15.854,0.015854,2005
1.38,14.964,0.014964,2005
1.396,15.324,0.015324,2005
1.421,15.956,0.015956,2005
1.393,14.83,0.01483,2005
1.456,16.164,0.016164,2005
1.374,14.997,0.014997,2005
1.393,15.32,0.01532,2005
1.361,14.28,0.01428,2005
1.399,17.923,0.017923,2005
1.404,17.262,0.017262,2005
1.397,16.361,0.016361,2005
1.383,16.64,0.01664,2005
1.483,15.191,0.015191,2005
1.434,15.425,0.015425,2005
1.432,15.708,0.015708,2005
1.387,15.318,0.015318,2005
1.414,16.173,0.016173,2005
1.387,16.311,0.016311,2005
1.439,15.729,0.015729,2005
1.372,15.76,0.01576,2005
1.395,15.805,0.015805,2005
1.426,16.015,0.016015,2005
1.417,16.597,0.016597,2005
1.647,17.659,0.017659,2005
1.418,17.92,0.01792,2005
1.441,17.767,0.017767,2005
1.385,17.158,0.017158,2005
1.44,16.552,0.016552,2005
1.409,15.379,0.015379,2005
1.365,15.977,0.015977,2005
1.44,15.896,0.015896,2005
1.421,14.607,0.014607,2005
1.434,15.367,0.015367,2005
1.416,15.588,0.015588,2005
1.405,15.741,0.015741,2005
1.459,14.046,0.014046,2005
1.419,15.077,0.015077,2005
1.414,16.23,0.01623,2005
1.448,15.517,0.015517,2005
1.436,15.8,0.0158,2005
1.411,15.562,0.015562,2005
1.416,16.078,0.016078,2005
1.483,16.456,0.016456,2005
1.47,16.005,0.016005,2005
1.409,16.758,0.016758,2005
1.411,16.408,0.016408,2005
1.409,15.951,0.015951,2005
1.47,14.873,0.014873,2005
1.427,15.74,0.01574,2005
1.395,16.161,0.016161,2005
1.424,16.417,0.016417,2005
1.523,15.951,0.015951,2005
1.436,16.672,0.016672,2005
1.436,17.442,0.017442,2005
1.504,17.807,0.017807,2005
1.43,16.998,0.016998,2005
1.553,18.065,0.018065,2005
1.553,17.211,0.017211,2005
1.415,15.736,0.015736,2005
1.359,15.775,0.015775,2005
1.418,15.429,0.015429,2005
1.435,14.682,0.014682,2005
1.515,17.145,0.017145,2005
1.515,16.879,0.016879,2005
1.483,16.512,0.016512,2005
1.491,15.131,0.015131,2005
1.442,16.075,0.016075,2005
1.327,15.12,0.01512,2005
1.446,15.308,0.015308,2005
1.45,17.112,0.017112,2005
1.418,14.899,0.014899,2005
1.437,15.222,0.015222,2005
1.467,15.529,0.015529,2005
1.427,15.228,0.015228,2005
1.428,15.337,0.015337,2005
1.534,16.149,0.016149,2005
1.444,17.148,0.017148,2005
1.465,14.584,0.014584,2005
1.415,14.866,0.014866,2005
1.463,14.557,0.014557,2005
1.433,16.008,0.016008,2005
1.472,16.036,0.016036,2005
1.478,16.594,0.016594,2005
1.466,16.817,0.016817,2005
1.496,17.521,0.017521,2005
1.436,18.13,0.01813,2005
1.444,15.836,0.015836,2005
1.435,14.936,0.014936,2005
1.518,15.53,0.01553,2005
1.536,15.208,0.015208,2005
1.402,15.368,0.015368,2005
1.386,15.188,0.015188,2005
1.401,15.238,0.015238,2005
1.39,16.938,0.016938,2005
1.417,15.903,0.015903,2005
1.436,16.74,0.01674,2005
1.437,16.959,0.016959,2005
1.42,16.898,0.016898,2005
1.542,17.392,0.017392,2005
1.41,14.62,0.01462,2005
1.45,16.235,0.016235,2005
1.392,13.805,0.013805,2005
1.469,13.667,0.013667,2005
1.604,13.557,0.013557,2005
1.449,15.244,0.015244,2005
1.443,15.322,0.015322,2005
1.409,16.626,0.016626,2005
1.391,16.822,0.016822,2005
1.482,14.699,0.014699,2005
1.648,12.609,0.012609,2005
1.428,16.263,0.016263,2005
1.439,16.477,0.016477,2005
1.418,14.882,0.014882,2005
1.501,14.239,0.014239,2005
1.511,17.166,0.017166,2005
1.395,17.172,0.017172,2005
1.465,16.723,0.016723,2005
1.426,16.618,0.016618,2005
1.458,15.105,0.015105,2005
1.422,14.617,0.014617,2005
1.387,15.139,0.015139,2005
1.423,18.464,0.018464,2005
1.426,14.654,0.014654,2005
1.62,15.107,0.015107,2005
1.463,16.148,0.016148,2005
1.436,15.124,0.015124,2005
1.436,15.785,0.015785,2005
1.395,15.697,0.015697,2005
1.004,15.147,0.015147,2005
1.532,14.472,0.014472,2005
1.427,15.14,0.01514,2005
1.504,15.218,0.015218,2005
1.472,16.722,0.016722,2005
1.484,16.35,0.01635,2005
1.477,15.518,0.015518,2005
1.522,14.944,0.014944,2005
1.48,15.776,0.015776,2005
1.518,14.836,0.014836,2005
1.47,15.29,0.01529,2005
1.168,16.183,0.016183,2005
1.48,15.878,0.015878,2005
1.482,15.523,0.015523,2005
1.446,15.466,0.015466,2005
1.479,15.446,0.015446,2005
1.425,15.255,0.015255,2005
1.431,15.47,0.01547,2005
1.495,15.668,0.015668,2005
1.44,15.705,0.015705,2005
1.477,15.127,0.015127,2005
1.462,16.42,0.01642,2005
1.478,15.949,0.015949,2005
1.491,15.251,0.015251,2005
1.012,15.722,0.015722,2005
1.51,14.857,0.014857,2005
1.487,15.879,0.015879,2005
1.474,16.245,0.016245,2005
1.476,16.492,0.016492,2005
1.443,14.518,0.014518,2005
1.456,15.128,0.015128,2005
1.455,15.271,0.015271,2005
1.459,15.901,0.015901,2005
1.485,15.429,0.015429,2005
1.646,14.375,0.014375,2005
1.44,16.553,0.016553,2005
1.448,16.006,0.016006,2005
1.421,15.854,0.015854,2005
1.434,16.922,0.016922,2005
1.454,15.391,0.015391,2005
1.427,17.676,0.017676,2005
1.441,17.78,0.01778,2005
1.429,17.148,0.017148,2005
1.439,15.875,0.015875,2005
1.443,15.392,0.015392,2005
1.494,15.254,0.015254,2005
1.478,16.395,0.016395,2005
1.486,15.827,0.015827,2005
1.534,14.58,0.01458,2005
1.444,15.376,0.015376,2005
1.435,15.294,0.015294,2005
1.446,16.371,0.016371,2005
1.431,16.45,0.01645,2005
1.453,15.603,0.015603,2005
1.425,16.332,0.016332,2005
1.423,16.161,0.016161,2005
1.427,15.764,0.015764,2005
1.428,15.912,0.015912,2005
1.482,15.289,0.015289,2005
1.474,15.135,0.015135,2005
1.392,16.878,0.016878,2005
1.457,15.68,0.01568,2005
1.437,16.262,0.016262,2005
1.413,16.251,0.016251,2005
1.46,16.105,0.016105,2005
1.407,17.447,0.017447,2005
1.465,15.83,0.01583,2005
1.449,16.466,0.016466,2005
1.406,16.918,0.016918,2005
1.432,16.509,0.016509,2005
1.426,16.738,0.016738,2005
1.404,16.742,0.016742,2005
1.451,16.46,0.01646,2005
1.463,15.342,0.015342,2005
1.423,15.474,0.015474,2005
1.41,15.428,0.015428,2005
1.413,16.151,0.016151,2005
1.416,16.301,0.016301,2005
1.418,16.406,0.016406,2005
1.434,14.808,0.014808,2005
1.382,16.223,0.016223,2005
1.442,16.267,0.016267,2005
1.424,15.853,0.015853,2005
1.437,16.047,0.016047,2005
1.422,14.453,0.014453,2005
1.408,16.311,0.016311,2005
1.408,15.507,0.015507,2005
1.436,15.948,0.015948,2005
1.431,15.801,0.015801,2005
1.458,16.033,0.016033,2005
1.453,16.047,0.016047,2005
1.412,15.71,0.01571,2005
1.434,14.728,0.014728,2005
1.454,16.74,0.01674,2005
1.461,15.801,0.015801,2005
1.437,15.605,0.015605,2005
1.413,16.109,0.016109,2005
1.472,14.973,0.014973,2005
1.402,14.125,0.014125,2005
1.424,15.806,0.015806,2005
1.426,15.91,0.01591,2005
1.399,14.265,0.014265,2005
1.42,14.506,0.014506,2005
1.446,15.953,0.015953,2005
1.419,15.386,0.015386,2005
1.374,14.58,0.01458,2005
1.393,15.516,0.015516,2005
1.399,15.944,0.015944,2005
1.41,16.844,0.016844,2005
1.398,15.622,0.015622,2005
1.422,16.91,0.01691,2005
1.433,15.985,0.015985,2005
1.406,16.672,0.016672,2005
1.432,17.251,0.017251,2005
1.401,15.793,0.015793,2005
1.407,15.41,0.01541,2005
1.344,16.846,0.016846,2005
1.405,16.032,0.016032,2005
1.403,16.279,0.016279,2005
1.395,16.082,0.016082,2005
1.413,16.175,0.016175,2005
1.417,15.267,0.015267,2005
1.4,16.16,0.01616,2005
1.364,15.539,0.015539,2005
1.397,15.572,0.015572,2005
1.44,15.893,0.015893,2005
1.424,15.867,0.015867,2005
1.426,16.559,0.016559,2005
1.394,14.676,0.014676,2005
1.402,15.975,0.015975,2005
1.338,16.111,0.016111,2005
1.414,15.779,0.015779,2005
1.413,15.576,0.015576,2005
1.417,14.673,0.014673,2005
1.425,15.957,0.015957,2005
1.429,16.311,0.016311,2005
1.418,14.519,0.014519,2005
1.44,15.707,0.015707,2005
1.399,16.688,0.016688,2005
1.434,16.364,0.016364,2005
1.4,15.864,0.015864,2005
1.415,16.465,0.016465,2005
1.391,14.415,0.014415,2005
1.39,14.705,0.014705,2005
1.432,16.164,0.016164,2005
1.421,16.052,0.016052,2005
1.477,16.199,0.016199,2005
1.496,19.99,0.01999,2005
1.45,20.407,0.020407,2005
1.075,14.66,0.01466,2005
1.75,17.212,0.017212,2005
1.475,16.89,0.01689,2005
1.494,16.598,0.016598,2005
1.79,16.097,0.016097,2005
1.52,16.468,0.016468,2005
1.523,16.434,0.016434,2005
1.605,15.757,0.015757,2005
1.392,15.354,0.015354,2005
1.496,15.41,0.01541,2005
1.561,14.707,0.014707,2005
1.733,14.585,0.014585,2005
1.549,15.161,0.015161,2005
1.298,14.761,0.014761,2005
1.565,15.984,0.015984,2005
1.553,15.648,0.015648,2005
1.466,14.611,0.014611,2005
1.562,13.774,0.013774,2005
1.606,13.85,0.01385,2005
1.602,15.939,0.015939,2005
1.584,16.804,0.016804,2005
0.977,15.415,0.015415,2005
1.53,16.22,0.01622,2005
1.753,14.98,0.01498,2005
1.573,16.343,0.016343,2005
1.45,15.471,0.015471,2005
1.557,16.278,0.016278,2005
1.532,17.104,0.017104,2005
1.708,12.483,0.012483,2005
1.438,16.483,0.016483,2005
1.705,16.61,0.01661,2005
1.584,16.22,0.01622,2005
1.351,16.528,0.016528,2005
1.488,15.96,0.01596,2005
1.607,15.998,0.015998,2005
1.617,15.148,0.015148,2005
1.562,15.304,0.015304,2005
1.667,14.127,0.014127,2005
1.619,15.759,0.015759,2005
1.576,15.172,0.015172,2005
1.493,15.189,0.015189,2005
1.726,17.404,0.017404,2005
1.612,17.184,0.017184,2005
1.331,16.264,0.016264,2005
1.45,15.537,0.015537,2005
1.512,15.966,0.015966,2005
1.253,15.585,0.015585,2005
1.499,14.593,0.014593,2005
1.535,15.53,0.01553,2005
1.624,17.051,0.017051,2005
1.595,14.732,0.014732,2005
1.583,14.975,0.014975,2005
1.602,15.763,0.015763,2005
1.548,15.623,0.015623,2005
1.796,15.656,0.015656,2005
1.482,15.462,0.015462,2005
1.435,14.691,0.014691,2005
1.511,15.396,0.015396,2005
1.254,16.166,0.016166,2005
1.506,15.97,0.01597,2005
1.46,17.022,0.017022,2005
1.45,15.975,0.015975,2005
1.501,16.199,0.016199,2005
1.566,15.603,0.015603,2005
1.473,16.986,0.016986,2005
1.435,16.363,0.016363,2005
1.493,16.373,0.016373,2005
1.52,15.625,0.015625,2005
1.422,15.401,0.015401,2005
1.412,16.217,0.016217,2005
1.463,16.266,0.016266,2005
1.491,15.828,0.015828,2005
1.416,16.593,0.016593,2005
1.439,16.225,0.016225,2005
1.536,14.971,0.014971,2005
1.317,17.312,0.017312,2005
1.342,17.244,0.017244,2005
1.204,17.32,0.01732,2005
1.289,17.245,0.017245,2005
1.431,16.451,0.016451,2005
1.412,15.401,0.015401,2005
1.436,15.852,0.015852,2005
1.421,14.388,0.014388,2005
1.484,15.276,0.015276,2005
1.407,14.175,0.014175,2005
1.386,16.859,0.016859,2005
1.39,17.206,0.017206,2005
1.424,16.824,0.016824,2005
1.417,15.565,0.015565,2005
1.397,16.123,0.016123,2005
1.434,15.802,0.015802,2005
1.405,16.642,0.016642,2005
1.383,16.445,0.016445,2005
1.396,17.136,0.017136,2005
1.424,16.134,0.016134,2005
1.24,14.88,0.01488,2005
1.455,15.347,0.015347,2005
1.435,17.804,0.017804,2005
1.454,17.832,0.017832,2005
1.41,17.245,0.017245,2005
1.452,15.87,0.01587,2005
1.463,15.807,0.015807,2005
1.447,14.799,0.014799,2005
1.393,16.459,0.016459,2005
1.386,15.278,0.015278,2005
1.473,15.276,0.015276,2005
1.428,15.812,0.015812,2005
1.443,16.532,0.016532,2005
1.402,16.495,0.016495,2005
1.441,16.29,0.01629,2005
1.511,16.472,0.016472,2005
1.501,14.247,0.014247,2005
1.345,15.65,0.01565,2005
1.361,18.068,0.018068,2005
1.298,16.652,0.016652,2005
1.419,17.097,0.017097,2005
1.37,18.116,0.018116,2005
1.335,15.406,0.015406,2005
1.472,14.655,0.014655,2005
1.402,16.311,0.016311,2005
1.367,16.608,0.016608,2005
1.352,16.378,0.016378,2005
1.358,15.5,0.0155,2005
1.379,15.769,0.015769,2005
1.123,15.06,0.01506,2005
1.339,14.74,0.01474,2005
1.267,14.294,0.014294,2005
1.424,14.477,0.014477,2005
1.402,15.989,0.015989,2005
1.425,16.832,0.016832,2005
1.39,15.804,0.015804,2005
1.359,16.896,0.016896,2005
1.431,16.88,0.01688,2005
1.359,14.381,0.014381,2005
1.37,14.72,0.01472,2005
1.217,14.941,0.014941,2005
1.44,15.272,0.015272,2005
1.443,14.557,0.014557,2005
1.155,15.183,0.015183,2005
1.384,16.544,0.016544,2005
1.389,17.632,0.017632,2005
1.455,11.78,0.01178,2005
1.402,14.756,0.014756,2005
1.39,15.071,0.015071,2005
1.478,15.399,0.015399,2005
1.412,14.701,0.014701,2005
1.457,15.292,0.015292,2005
1.361,14.085,0.014085,2005
1.266,16.006,0.016006,2005
1.418,13.618,0.013618,2005
1.371,15.389,0.015389,2005
1.396,14.949,0.014949,2005
1.491,15.226,0.015226,2005
1.374,13.782,0.013782,2005
1.324,16.614,0.016614,2005
1.376,15.312,0.015312,2005
1.414,16.164,0.016164,2005
1.436,16.235,0.016235,2005
1.466,16.248,0.016248,2005
1.354,15.5,0.0155,2005
1.38,16.146,0.016146,2005
1.121,16.706,0.016706,2005
1.351,15.925,0.015925,2005
1.469,17.056,0.017056,2005
1.556,16.393,0.016393,2005
1.508,16.855,0.016855,2005
1.697,14.657,0.014657,2005
1.568,14.636,0.014636,2005
1.608,15.215,0.015215,2005
1.555,16.559,0.016559,2005
1.457,16.257,0.016257,2005
1.438,15.767,0.015767,2005
1.426,15.675,0.015675,2005
1.581,15.876,0.015876,2005
1.664,15.158,0.015158,2005
1.395,15.988,0.015988,2005
1.523,16.205,0.016205,2005
1.435,16.144,0.016144,2005
1.427,17.626,0.017626,2005
1.046,13.883,0.013883,2005
1.38,16.437,0.016437,2005
1.424,14.561,0.014561,2005
1.44,16.347,0.016347,2005
1.489,15.211,0.015211,2005
1.185,15.43,0.01543,2005
1.494,15.349,0.015349,2005
1.508,17.097,0.017097,2005
1.379,15.715,0.015715,2005
1.421,15.624,0.015624,2005
1.409,15.373,0.015373,2005
1.344,15.415,0.015415,2005
1.551,15.326,0.015326,2005
1.367,15.63,0.01563,2005
1.529,16.528,0.016528,2005
1.384,16.698,0.016698,2005
1.412,15.36,0.01536,2005
1.296,14.874,0.014874,2005
1.445,15.205,0.015205,2005
1.379,16.089,0.016089,2005
1.543,16.663,0.016663,2005
1.096,16.398,0.016398,2005
1.416,16.675,0.016675,2005
1.471,15.251,0.015251,2005
1.436,15.673,0.015673,2005
1.565,16.556,0.016556,2005
1.424,14.763,0.014763,2005
1.435,16.353,0.016353,2005
1.435,16.167,0.016167,2005
1.444,17.551,0.017551,2005
1.47,15.564,0.015564,2005
1.435,17.076,0.017076,2005
1.531,16.906,0.016906,2005
1.442,17.265,0.017265,2005
1.38,16.474,0.016474,2005
1.453,16.885,0.016885,2005
1.468,16.094,0.016094,2005
1.44,15.768,0.015768,2005
1.414,16.493,0.016493,2005
1.449,17.168,0.017168,2005
1.38,16.945,0.016945,2005
1.354,15.533,0.015533,2005
1.44,17.061,0.017061,2005
1.436,15.117,0.015117,2005
1.39,17.718,0.017718,2005
1.462,17.946,0.017946,2005
1.572,17.189,0.017189,2005
1.364,16.101,0.016101,2005
1.485,16.735,0.016735,2005
1.337,16.371,0.016371,2005
1.42,17.416,0.017416,2005
1.363,17.544,0.017544,2005
1.352,17.764,0.017764,2005
1.402,16.072,0.016072,2005
1.342,16.957,0.016957,2005
1.392,17.026,0.017026,2005
1.441,16.403,0.016403,2005
1.407,16.296,0.016296,2005
1.377,16.801,0.016801,2005
1.339,17.115,0.017115,2005
1.331,16.366,0.016366,2005
1.159,15.961,0.015961,2005
1.439,17.357,0.017357,2005
1.427,16.592,0.016592,2005
1.451,15.263,0.015263,2005
1.347,17.004,0.017004,2005
1.358,17.057,0.017057,2005
1.394,16.627,0.016627,2005
1.448,17.088,0.017088,2005
1.437,15.64,0.01564,2005
1.389,14.576,0.014576,2005
1.797,14.155,0.014155,2005
1.514,14.15,0.01415,2005
1.389,14.491,0.014491,2005
1.43,16.76,0.01676,2005
1.427,16.277,0.016277,2005
1.413,15.798,0.015798,2005
1.558,16.434,0.016434,2005
1.455,15.272,0.015272,2005
1.429,14.888,0.014888,2005
1.392,15.236,0.015236,2005
1.386,16.161,0.016161,2005
1.417,14.398,0.014398,2005
1.411,15.874,0.015874,2005
1.624,13.922,0.013922,2005
1.478,16.55,0.01655,2005
1.427,16.001,0.016001,2005
1.4,15.062,0.015062,2005
1.45,15.06,0.01506,2005
1.402,15.426,0.015426,2005
1.492,15.399,0.015399,2005
1.394,16.554,0.016554,2005
1.428,16.993,0.016993,2005
1.43,15.677,0.015677,2005
1.404,18.29,0.01829,2005
1.566,16.362,0.016362,2005
1.523,13.732,0.013732,2005
1.411,14.327,0.014327,2005
1.632,14.883,0.014883,2005
1.6,14.465,0.014465,2005
1.424,15.75,0.01575,2005
1.423,15.663,0.015663,2005
1.397,16.519,0.016519,2005
1.418,16.363,0.016363,2005
1.436,15.541,0.015541,2005
1.599,13.554,0.013554,2005
1.384,18.206,0.018206,2005
1.441,16.499,0.016499,2005
1.293,16.249,0.016249,2005
1.416,15.347,0.015347,2005
1.53,13.505,0.013505,2005
1.534,14.98,0.01498,2005
1.393,16.776,0.016776,2005
1.416,14.252,0.014252,2005
1.425,14.66,0.01466,2005
1.385,15.581,0.015581,2005
1.384,16.795,0.016795,2005
1.395,13.709,0.013709,2005
1.501,15.789,0.015789,2005
1.485,16.12,0.01612,2005
1.42,16.755,0.016755,2005
1.452,16.665,0.016665,2005
1.429,16.652,0.016652,2005
1.273,16.711,0.016711,2005
1.474,15.707,0.015707,2005
1.443,16.564,0.016564,2005
1.452,15.602,0.015602,2005
1.394,15.543,0.015543,2005
1.412,16.651,0.016651,2005
1.457,16.366,0.016366,2005
1.448,15.668,0.015668,2005
1.475,15.424,0.015424,2005
1.432,16.075,0.016075,2005
1.454,15.421,0.015421,2005
1.469,16.314,0.016314,2005
1.427,16.192,0.016192,2005
1.527,17.078,0.017078,2005
1.443,16.279,0.016279,2005
2.142,17.775,0.017775,2005
1.421,16.268,0.016268,2005
1.517,15.536,0.015536,2005
1.617,17.345,0.017345,2005
1.442,16.286,0.016286,2005
1.429,16.967,0.016967,2005
1.807,17.292,0.017292,2005
1.436,16.53,0.01653,2005
1.47,16.848,0.016848,2005
1.427,17.104,0.017104,2005
1.392,16.465,0.016465,2005
1.47,16.845,0.016845,2005
1.484,16.901,0.016901,2005
1.486,14.546,0.014546,2005
1.513,14.867,0.014867,2005
1.456,15.031,0.015031,2005
1.467,14.962,0.014962,2005
1.477,15.088,0.015088,2005
1.482,14.169,0.014169,2005
1.411,14.401,0.014401,2005
1.5,14.342,0.014342,2005
1.431,14.676,0.014676,2005
1.423,14.705,0.014705,2005
1.368,16.007,0.016007,2005
1.416,16.268,0.016268,2005
1.455,15.617,0.015617,2005
1.481,17.124,0.017124,2005
1.436,17.354,0.017354,2005
1.449,14.757,0.014757,2005
1.405,16.173,0.016173,2005
1.413,15.465,0.015465,2005
1.382,16.795,0.016795,2005
1.483,17.654,0.017654,2005
1.458,18.16,0.01816,2005
1.401,16.681,0.016681,2005
1.454,15.109,0.015109,2005
1.497,15.581,0.015581,2005
1.457,14.931,0.014931,2005
1.415,17.167,0.017167,2005
1.425,16.957,0.016957,2005
1.451,17.717,0.017717,2005
1.477,15.936,0.015936,2005
1.454,17.329,0.017329,2005
1.471,17.185,0.017185,2005
1.453,14.777,0.014777,2005
1.549,15.828,0.015828,2005
1.476,16.012,0.016012,2005
1.417,17.739,0.017739,2005
1.511,15.174,0.015174,2005
1.435,15.228,0.015228,2005
1.405,15.016,0.015016,2005
1.462,15.422,0.015422,2005
1.459,16.919,0.016919,2005
1.456,15.816,0.015816,2005
1.416,15.882,0.015882,2005
1.43,15.012,0.015012,2005
1.424,15.251,0.015251,2005
1.298,16.196,0.016196,2005
1.43,14.993,0.014993,2005
1.451,15.166,0.015166,2005
1.438,15.4,0.0154,2005
1.446,16.458,0.016458,2005
1.482,17.859,0.017859,2005
1.441,17.507,0.017507,2005
1.413,15.845,0.015845,2005
1.53,13.823,0.013823,2005
1.379,15.265,0.015265,2005
1.49,15.348,0.015348,2005
1.422,15.542,0.015542,2005
1.497,15.584,0.015584,2005
1.48,16.061,0.016061,2005
1.445,14.784,0.014784,2005
1.458,16.08,0.01608,2005
1.457,16.213,0.016213,2005
1.482,14.861,0.014861,2005
1.72,14.029,0.014029,2005
1.85,16.91,0.01691,2005
1.474,18.364,0.018364,2005
1.501,17.843,0.017843,2005
1.45,17.433,0.017433,2005
1.521,17.014,0.017014,2005
1.454,16.575,0.016575,2005
1.502,16.967,0.016967,2005
1.473,16.636,0.016636,2005
1.484,15.244,0.015244,2005
1.473,16.894,0.016894,2005
1.473,16.082,0.016082,2005
1.49,16.202,0.016202,2005
1.478,17.055,0.017055,2005
1.214,15.958,0.015958,2005
1.531,15.759,0.015759,2005
1.462,16.009,0.016009,2005
1.487,15.238,0.015238,2005
1.47,16.456,0.016456,2005
0.773,16.542,0.016542,2005
1.525,16.371,0.016371,2005
1.457,16.929,0.016929,2005
1.414,17.01,0.01701,2005
1.583,16.018,0.016018,2005
1.497,16.265,0.016265,2005
1.436,16.778,0.016778,2005
1.54,16.451,0.016451,2005
1.436,16.942,0.016942,2005
1.483,15.356,0.015356,2005
1.469,15.992,0.015992,2005
1.402,16.59,0.01659,2005
1.918,18.078,0.018078,2005
1.558,17.814,0.017814,2005
1.464,16.675,0.016675,2005
1.486,17.681,0.017681,2005
1.505,16.55,0.01655,2005
1.457,15.724,0.015724,2005
1.48,16.503,0.016503,2005
1.463,16.498,0.016498,2005
1.486,15.895,0.015895,2005
1.474,16.945,0.016945,2005
1.422,16.871,0.016871,2005
1.435,17.48,0.01748,2005
1.438,17.535,0.017535,2005
1.47,17.485,0.017485,2005
1.502,16.528,0.016528,2005
1.465,16.366,0.016366,2005
1.509,16.561,0.016561,2005
1.514,16.779,0.016779,2005
1.536,15.143,0.015143,2005
1.522,15.905,0.015905,2005
1.512,16.044,0.016044,2005
1.474,15.785,0.015785,2005
1.515,16.206,0.016206,2005
1.475,14.898,0.014898,2005
1.292,15.239,0.015239,2005
1.5,16.018,0.016018,2005
1.483,15.59,0.01559,2005
1.4,16.307,0.016307,2005
1.443,17.014,0.017014,2005
1.429,17.725,0.017725,2005
1.428,17.575,0.017575,2005
1.657,16.931,0.016931,2005
1.518,17.057,0.017057,2005
1.452,16.837,0.016837,2005
1.448,17.477,0.017477,2005
1.394,17.244,0.017244,2005
1.509,17.32,0.01732,2005
1.449,16.254,0.016254,2005
1.438,16.386,0.016386,2005
1.446,16.194,0.016194,2005
1.427,17.177,0.017177,2005
1.484,15.562,0.015562,2005
1.432,16.996,0.016996,2005
1.463,15.973,0.015973,2005
1.428,16.668,0.016668,2005
1.246,16.623,0.016623,2005
1.5,17.09,0.01709,2005
1.466,16.174,0.016174,2005
1.441,15.157,0.015157,2005
1.456,15.329,0.015329,2005
1.476,16.114,0.016114,2005
1.501,16.64,0.01664,2005
1.437,15.514,0.015514,2005
1.398,17.807,0.017807,2005
1.422,15.082,0.015082,2005
1.377,16.714,0.016714,2005
1.45,16.423,0.016423,2005
1.426,16.469,0.016469,2005
1.364,16.195,0.016195,2005
1.419,16.977,0.016977,2005
1.464,16.358,0.016358,2005
1.448,16.807,0.016807,2005
1.442,16.906,0.016906,2005
1.204,17.072,0.017072,2005
1.18,17.273,0.017273,2005
1.528,17.198,0.017198,2005
1.283,16.54,0.01654,2005
1.394,15.522,0.015522,2005
1.426,16.82,0.01682,2005
1.498,16.557,0.016557,2005
1.428,15.94,0.01594,2005
1.465,15.009,0.015009,2005
1.51,15.726,0.015726,2005
1.497,15.11,0.01511,2005
1.328,17.952,0.017952,2005
1.43,16.756,0.016756,2005
1.263,16.59,0.01659,2005
1.409,16.316,0.016316,2005
1.483,15.979,0.015979,2005
1.479,18.202,0.018202,2005
1.407,18.314,0.018314,2005
1.538,20.748,0.020748,2005
1.377,16.664,0.016664,2005
1.468,16.416,0.016416,2005
1.432,16.313,0.016313,2005
1.54,14.412,0.014412,2005
1.41,15.671,0.015671,2005
1.433,16.386,0.016386,2005
1.433,15.272,0.015272,2005
1.471,15.286,0.015286,2005
1.425,15.316,0.015316,2005
1.057,16.105,0.016105,2005
1.4,16.314,0.016314,2005
1.669,15.577,0.015577,2005
1.466,17.315,0.017315,2005
1.495,16.833,0.016833,2005
1.471,16.437,0.016437,2005
1.446,17.264,0.017264,2005
1.396,16.369,0.016369,2005
1.453,16.404,0.016404,2005
1.422,15.79,0.01579,2005
1.45,14.131,0.014131,2005
1.458,14.534,0.014534,2005
1.518,14.559,0.014559,2005
1.451,15.861,0.015861,2005
1.437,15.807,0.015807,2005
1.444,14.711,0.014711,2005
1.57,20.358,0.020358,2005
1.428,14.529,0.014529,2005
1.446,16.057,0.016057,2005
1.469,15.315,0.015315,2005
1.434,16.466,0.016466,2005
1.405,15.707,0.015707,2005
1.554,16.699,0.016699,2007
1.642,16.073,0.016073,2007
1.425,15.185,0.015185,2007
1.424,17.164,0.017164,2007
1.553,15.313,0.015313,2007
1.499,15.615,0.015615,2007
1.571,14.325,0.014325,2007
1.573,14.839,0.014839,2007
1.537,15.117,0.015117,2007
1.578,14.802,0.014802,2007
1.558,15.627,0.015627,2007
2.024,16.257,0.016257,2007
1.575,15.168,0.015168,2007
1.763,15.156,0.015156,2007
1.961,15.766,0.015766,2007
1.506,15.268,0.015268,2007
1.649,14.799,0.014799,2007
1.644,15.277,0.015277,2007
1.51,14.623,0.014623,2007
1.421,15.061,0.015061,2007
1.753,14.068,0.014068,2007
1.532,13.813,0.013813,2007
1.458,14.436,0.014436,2007
1.523,14.608,0.014608,2007
1.525,14.956,0.014956,2007
1.544,14.443,0.014443,2007
1.609,14.824,0.014824,2007
1.449,15.521,0.015521,2007
1.514,15.61,0.01561,2007
1.542,15.37,0.01537,2007
1.607,15.473,0.015473,2007
1.615,14.908,0.014908,2007
1.547,14.599,0.014599,2007
1.557,16.013,0.016013,2007
1.498,14.939,0.014939,2007
